Date,Open,High,Low,Close,Adj Close,Volume
2020-11-06,7.550000,7.650000,7.400000,7.550000,7.319972,3455628
2020-11-09,7.600000,7.700000,7.500000,7.550000,7.319972,4160488
2020-11-10,7.600000,7.650000,7.450000,7.500000,7.271495,5380521
2020-11-11,7.500000,7.550000,7.350000,7.400000,7.174541,4766790
2020-11-12,7.350000,7.400000,7.200000,7.350000,7.126065,7057084
2020-11-13,7.300000,7.600000,7.250000,7.450000,7.223018,5535069
2020-11-14,null,null,null,null,null,null
2020-11-17,7.550000,7.550000,7.400000,7.500000,7.271495,7013962
2020-11-18,7.650000,7.800000,7.500000,7.550000,7.319972,6063951
2020-11-19,7.550000,8.000000,7.500000,7.700000,7.465401,18154295
2020-11-20,7.800000,8.250000,7.650000,8.100000,7.853214,16286138
2020-11-23,8.350000,8.550000,8.100000,8.150000,7.901690,23292067
2020-11-24,8.250000,8.250000,7.850000,7.900000,7.659307,11516552
2020-11-25,7.950000,8.100000,7.800000,7.850000,7.610831,11010166
2020-11-26,7.900000,8.550000,7.750000,8.000000,7.756261,29395640
2020-11-27,8.050000,8.100000,7.900000,7.900000,7.659307,7574639
2020-12-01,7.950000,8.150000,7.900000,7.950000,7.707784,7870921
2020-12-02,8.000000,8.350000,7.950000,8.200000,7.950168,16704013
2020-12-03,8.400000,9.800000,8.400000,9.000000,8.725793,108332158
2020-12-04,9.200000,9.300000,8.800000,9.200000,8.919700,32953002
2020-12-07,9.350000,10.150000,9.250000,9.950000,9.646850,48918156
2020-12-08,10.150000,10.450000,9.700000,10.150000,9.840755,38884145
2020-12-09,10.300000,10.350000,9.950000,10.100000,9.792279,28732966
2020-12-10,10.150000,10.150000,9.600000,9.750000,9.452943,12499499
2020-12-11,9.850000,10.100000,9.750000,9.850000,9.549897,12522959
2020-12-14,10.200000,10.200000,9.850000,9.950000,9.646850,8803186
2020-12-15,10.000000,10.050000,9.700000,9.800000,9.501419,6516020
2020-12-16,10.000000,10.000000,9.750000,9.800000,9.501419,7962515
2020-12-17,9.900000,9.950000,9.600000,9.650000,9.355989,8786951
2020-12-18,9.750000,9.750000,9.200000,9.400000,9.113606,14828926
2020-12-21,9.400000,9.700000,8.350000,8.650000,8.386457,26415562
2020-12-22,8.650000,9.100000,7.850000,8.950000,8.677317,25936626
2020-12-23,8.850000,9.400000,8.800000,9.300000,9.016653,15759193
2020-12-24,9.500000,9.650000,9.200000,9.350000,9.065130,12286109
2020-12-28,9.550000,9.850000,9.400000,9.650000,9.355989,15531305
2020-12-29,9.750000,9.850000,9.500000,9.700000,9.404466,14656740
2020-12-30,9.800000,9.850000,9.500000,9.700000,9.404466,11005401
2020-12-31,9.800000,10.100000,9.700000,9.900000,9.598372,18512874
2021-01-01,10.000000,10.950000,10.000000,10.750000,10.422476,78489564
2021-01-04,11.300000,12.900000,11.150000,12.900000,12.506970,155327472
2021-01-05,13.800000,15.450000,13.400000,15.450000,14.979280,195279306
2021-01-06,16.700001,16.950001,14.700000,16.000000,15.512522,270244231
2021-01-07,16.549999,16.549999,14.400000,14.500000,14.058223,111230139
2021-01-08,14.250000,15.000000,13.400000,14.600000,14.155176,83660792
2021-01-11,15.500000,15.850000,14.500000,14.700000,14.252130,56942526
2021-01-12,14.850000,14.900000,14.250000,14.350000,13.912794,38423097
2021-01-13,14.350000,14.750000,13.950000,14.350000,13.912794,57152871
2021-01-14,14.600000,14.650000,14.300000,14.350000,13.912794,22772377
2021-01-15,14.550000,14.950000,14.400000,14.700000,14.252130,41989614
2021-01-18,15.200000,15.350000,14.800000,14.900000,14.446035,50813882
2021-01-19,15.500000,15.650000,15.050000,15.150000,14.688419,29655987
2021-01-20,15.200000,15.250000,14.600000,14.800000,14.349083,28330068
